id,accio,data,ordinador_id,alumne_id
1,assignat,2026-08-22 02:58:36,2,1
2,retirat,2026-08-22 02:59:45,2,1
3,assignat,2026-08-22 02:59:45,2,2
4,retirat,2026-08-22 03:20:39,2,2
5,assignat,2026-08-22 03:20:39,2,3
6,assignat,2026-08-26 16:22:40,36,1
7,assignat,2026-08-26 16:42:37,10,36
8,assignat,2026-08-26 23:20:55,6,37
9,retirat (baixa alumne),2026-08-27 01:21:07,10,36
10,assignat,2026-08-27 01:24:12,15,3
11,retirat (baixa alumne),2026-08-27 01:24:18,15,3
12,assignat,2026-08-27 18:31:57,10,10
13,retirat (emmagatzemat),2026-08-28 01:59:32,10,10
14,assignat,2026-08-28 02:31:32,7,7
15,assignat,2026-08-28 02:32:05,15,15
16,assignat,2026-08-28 02:32:36,20,20
17,retirat,2026-08-28 02:34:12,20,20
18,assignat,2026-08-28 02:34:12,20,20
19,retirat,2026-08-28 02:41:11,20,20
20,assignat,2026-08-28 02:41:11,20,20
21,retirat,2026-08-28 02:42:48,20,20
22,assignat,2026-08-28 02:42:48,20,20
23,assignat,2026-08-28 02:42:57,19,19
24,assignat,2026-08-28 02:45:33,30,30
25,assignat,2026-08-28 02:45:49,3,3
26,retirat,2026-08-28 02:46:38,3,3
27,assignat,2026-08-28 02:46:38,3,3
28,assignat,2026-08-28 02:48:19,1,1
29,retirat (emmagatzemat),2026-08-28 03:00:19,1,1
30,assignat,2026-08-28 03:00:27,37,1
31,assignat,2026-08-28 03:01:29,38,1
32,assignat,2026-09-09 23:01:38,32,41
33,retirat (baixa alumne),2026-09-09 23:09:12,7,7
