id,num_serie,sace,model,estat
1,LEN0000001,CAT000001,Lenovo Chromebook Gen 1,emmagatzemat
2,LEN0000002,CAT000002,Lenovo Chromebook Gen 1,de baixa
3,LEN0000003,CAT000003,Lenovo Chromebook Gen 1,assignat
4,LEN0000004,CAT000004,Lenovo Chromebook Gen 1,En reparació
5,LEN0000005,CAT000005,Lenovo Chromebook Gen 1,de baixa
6,LEN0000006,CAT000006,Lenovo Chromebook Gen 1,de baixa
7,LEN0000007,CAT000007,Lenovo Chromebook Gen 1,emmagatzemat
8,LEN0000008,CAT000008,Lenovo Chromebook Gen 1,emmagatzemat
9,LEN0000009,CAT000009,Lenovo Chromebook Gen 1,emmagatzemat
10,LEN0000010,CAT000010,Lenovo Chromebook Gen 1,emmagatzemat
11,LEN0000011,CAT000011,Lenovo Chromebook Gen 1,emmagatzemat
12,LEN0000012,CAT000012,Lenovo Chromebook Gen 1,emmagatzemat
13,LEN0000013,CAT000013,Lenovo Chromebook Gen 1,emmagatzemat
14,LEN0000014,CAT000014,Lenovo Chromebook Gen 1,emmagatzemat
15,LEN0000015,CAT000015,Lenovo Chromebook Gen 1,assignat
16,LEN0000016,CAT000016,Lenovo Chromebook Gen 1,emmagatzemat
17,LEN0000017,CAT000017,Lenovo Chromebook Gen 1,emmagatzemat
18,LEN0000018,CAT000018,Lenovo Chromebook Gen 1,emmagatzemat
19,LEN0000019,CAT000019,Lenovo Chromebook Gen 1,assignat
20,LEN0000020,CAT000020,Lenovo Chromebook Gen 1,assignat
21,LEN0000021,CAT000021,Lenovo Chromebook Gen 1,emmagatzemat
22,LEN0000022,CAT000022,Lenovo Chromebook Gen 1,emmagatzemat
23,LEN0000023,CAT000023,Lenovo Chromebook Gen 1,emmagatzemat
24,LEN0000024,CAT000024,Lenovo Chromebook Gen 1,emmagatzemat
25,LEN0000025,CAT000025,Lenovo Chromebook Gen 1,emmagatzemat
26,LEN0000026,CAT000026,Lenovo Chromebook Gen 1,emmagatzemat
27,LEN0000027,CAT000027,Lenovo Chromebook Gen 1,emmagatzemat
28,LEN0000028,CAT000028,Lenovo Chromebook Gen 1,emmagatzemat
29,LEN0000029,CAT000029,Lenovo Chromebook Gen 1,emmagatzemat
30,LEN0000030,CAT000030,Lenovo Chromebook Gen 1,assignat
31,LEN0000031,CAT000031,Lenovo Chromebook Gen 1,emmagatzemat
32,LEN0000032,CAT000032,Lenovo Chromebook Gen 1,assignat
33,LEN0000033,CAT000033,Lenovo Chromebook Gen 1,emmagatzemat
34,LEN0000034,CAT000034,Lenovo Chromebook Gen 1,emmagatzemat
35,LEN0000035,CAT000035,Lenovo Chromebook Gen 1,emmagatzemat
36,LEN0000036,CAT000036,Lenovo Chromebook Gen 1,emmagatzemat
37,20TA002CSP,NOTE0000000,Thinkpad E14 Gen 2,assignat
38,20TA003CSP,NOTE0000001,Thinkpad E14 Gen 2,assignat
